id,nomor_registrasi,nama,tipe,komposisi,indikasi_umum,indikasi
7,DKL1333528917A1,ericfil,tablet,sildenafil citrate,ericfil diindikasikan untuk mengobati disfungsi ereksi,disfungsi ereksi
12,DKL2233554519A1,ericfil 50,odf,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
154,GKL1433531717B1,sildenafil citrate,tablet,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
238,DKI1690401417B1,viagra,tablet,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
241,DKI1973401817D1,cialis,tablet,tadalafil,"pengobatan ketidakmampuan mencapai atau mempertahankan ereksi dengan baik untuk berhubungan seksual (disfungsi ereksi) pada pria dewasa, mengobati penderita pembesaran prostat jinak (bph) dan hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru.",hipertensi pulmonal| bph (benign prostatic hyperplasia)| disfungsi ereksi| hipertensi
245,DKL1307919609A1,topgra,kaplet,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
252,DKL1406416409A1,gramax,kaplet,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa.,disfungsi ereksi
256,DKI0351601917C1,levitra,tablet,vardenafil hydrochloride trihydrate,pengobatan disfungsi ereksi pada pria dewasa,disfungsi ereksi
261,DKL1121635217B1,rozgra,tablet,sildenafil citrate,untuk terapi disfungsi ereksi,disfungsi ereksi
267,DKL1218826317A1,viajoy,tablet,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa.,disfungsi ereksi
269,DKI1953300196B1,viastar blue 100,odf,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
271,DKI1953300196A1,viastar blue 50,odf,sildenafil citrate,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
272,DKI1850700196A1,bifido,odf,sildenafil,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
279,DKI1950700396C1,caliberi,odf,tadalafil,terapi disfungsi ereksi pria dewasa,disfungsi ereksi
281,DKI1953300296B1,ciastar yellow,odf,tadalafil,terapi disfungsi ereksi pada pria dewasa,disfungsi ereksi
282,DKL2128209617B1,maxlis 20,tablet,tadalafil,pengobatan ketidakmampuan mencapai mempertahankan ereksi berhubungan seksual disfungsi ereksi pria dewasa,disfungsi ereksi
284,DKL1422252809B1,sanbenafil 100,kaplet,sildenafil citrate,terapi disfungsi ereksi,disfungsi ereksi
288,DKL2013322102A1,microgest 100,kapsul,progesterone,untuk gangguan yang berhubungan dengan defisiensi progesteron. penggunaan oral diindikasikan untuk menstruasi tidak teratur akibat disovulasi. penggunaan vaginal diindikasikan pada siklus fertilisasi in vitro (ivf). penggunaan secara vaginal merupakan alternatif untuk menghindari efek samping progesteron.,disfungsi ovulasi| defisiensi progesteron
290,DKL2013322102B1,microgest 200,kapsul,progesterone,untuk gangguan yang berhubungan dengan defisiensi progesteron. penggunaan oral diindikasikan untuk menstruasi tidak teratur akibat disovulasi. penggunaan vaginal diindikasikan pada siklus fertilisasi in vitro (ivf). penggunaan secara vaginal merupakan alternatif untuk menghindari efek samping progesteron.,disfungsi ovulasi| defisiensi progesteron
292,DKL8511603410A1,profertil,tablet,clomifene citrate,"infertilitas pada pasien dengan amenore, sindroma stein-leventhal, perdarahan uterus fungsional dengan gangguan ovulasi",infertilitas| disfungsi ovulasi| amenore| sindroma steinleventhal| pendaharan uterus
293,DKL0122233910A1,blesifen,tablet,clomifene citrate,"terapi infertilitas pada wanita yang disebabkan oleh disfungsi ovulasi, polisistik ovarium, amenore- galaktorea, amenore psikogenik & amenorre paska kontrasepsi oral, oligospermia pada pria",amenore| oligospermia| disfungsi ovulasi| polisistik ovarium
295,DKI0570600392B1,cygest,pessary,progesterone,"terapi untuk pendarahan uterus disfungsional atau untuk membantu siklus konsepsi pada fase luteal atau fertilisasi in-vitro, abortus yang mengancam, kehamilan dengan riwayat abortus habitualis.",aborsi| aborsi habitulasi| pendaharan uterus
299,DKI1436200317A1,femaplex,tablet,letrozole,"- terapi lini pertama kanker payudara stadium lokal lanjut/metastasis dengan status reseptor hormon positif atau tidak diketahui pada wanita pasca-menopause. - terapi adjuvan kanker payudara stadium dini dengan status reseptor hormon positif pada wanita pasca-menopause. - terapi adjuvan lanjutan pada wanita pasca-menopause dengan kanker payudara stadium dini yang telah mendapat terapi tamoxifen adjuvan selama 5 tahun. - terapi kanker payudara stadium lanjut pada wanita dengan status pasca-menopause, baik alami maupun yang diinduksi, dan pernah mendapat terapi anti-estrogen.",kanker payudara
300,DKL0133504210A1,pinfetil,tablet,clomifene citrate,pengobatan infertilitas wanita pria  menstimulasi spermatonegesis infertilitas pria oligospermia  merangsang ovulasi wanita mengalami infertilitas anovulasi,infertilitas| oligospermia| anovulasi
