standardized_disease;list_of_diseases;tambahan manual
abses;['abses'];['abses']
abses gigi;['abses gigi'];['abses gigi']
abses paru;['abses paru'];['abses paru']
alergi;['alergi'];['alergi','alergi ringan','gangguan alergi','gi kondisi alergi','reaksi alergi','gejala alergi', 'penyakit alergi', 'peradangan alergi']
alergi dingin;['alergi dingin', 'alergi ringan'];['alergi dingin']
alergi makanan;['alergi makanan'];['alergi makanan']
alergi obat;['alergi obat', 'batuk alergi', 'akibat alergi'];['alergi obat']
ambeien;['ambeien'];['ambeien']
amebiasis;['amebiasis', 'lambliasis', 'amubiasis', 'amoebiasis'];['amebiasis', 'amubiasis', 'amoebiasis','hepatic amoebiasis','amoebiasis intestinal', 'amoebiasis intestinal hepar', 'amubiasis ekstra intestinal', 'amubiasis intestinal', 'amubiasis intestinal akut', 'amubiasis intra intestinal']
amenore;['amenore', 'amenorre'];['amenore', 'amenorre','amenorrhea','amenore primer', 'amenore primer dan sekunder', 'amenore psikogenik', 'amenore sekunder', 'amenore galaktorea']
anemia;['anemia'];['anemia']
anemia defisiensi besi;['anemia defisiensi besi', 'anemia defisiensi zat besi'];['defisiensi zat besi', 'defisiensi zat besi asam folat', 'defisiensi zat besi dan asam folat', 'defisiensi zat besi gejala', 'defisiensi zat besi pencegahan','anemia kekurangan zat besi']
anemia pernisiosa;['anemia pernisiosa'];['anemia pernisiosa']
angina pectoris;['angina pectoris'];['angina pectoris', 'angina pektoris']
angioedema;['angioedema', 'angioderma'];['angioedema', 'angioderma']
ankylosing spondylitis;['ankylosing spondylitis', 'ankylosing spondilitis', 'aankilosing spondilitis', 'spondilitis ankilosing'];['ankylosing spondylitis', 'ankylosing spondylititis', 'ankylosing spondilitis', 'ankilosing spondilitis', 'aankilosing spondilitis', 'ra ankilosing spondilitis','ankilosa spondilitis', 'spondilitas ankilosa', 'spondilitis', 'spondilitis ankilosa', 'spondilitis ankilosing']
aritmia;['aritmia'];['aritmia','disritmia jantung', 'disritmia kordis','aritmia jantung', 'aritmia ventrikel supraventrikel']
arteriosklerosis;['arteriosklerosis', 'artherosklerosis', 'aterosklerosis'];['arteriosklerosis']
asam urat;['asam urat'];['asam urat', 'asam urat akut']
ascariasis;['ascariasis', 'askariasis'];['ascariasis', 'askariasis','ascaris lumbricoides']
asites;['asites'];['asites']
