standardized_disease;list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy
aborsi;['abortus', 'aborsi']
aborsi septik;['abortus septik', 'infeksi abortus septik', 'aborsi septik']
abses;['abs', 'abses']
abses gigi;['abses gigi']
abses intra abdomen;['abses intra abdomen', 'abses intraabdomen', 'abs intraabdomen','abs intra abdomen']
abses paru;['abs paru', 'abses paru']
abses periodontal;['abs periodontal', 'abses periodontal']
adenoma endokrin multiple;['adenoma endokrin', 'adenoma endokrin multiple', 'adenoma endokrin multipel']
adesilentikular;['adesilentikular']
adnexitis;['adnexitis', 'dakriosistitis adnexitis']
akne;['acne vulgaris papulapustula', 'akne vulgaris', 'akne vulgarisjerawat ringan', 'acne ringan', 'acne eksim', 'akne pustularis', 'akne nekrotika', 'akne pustular', 'acne', 'akne vulgaris ringan sedang', 'acne vulgaris papulapustula berat', 'akne vulgarisjerawat', 'akne', 'acne vulgaris', 'akne berat']
akrosia;['akrosia', 'akrosianosis']
alergi;['gangguan alergi', 'alergi', 'akibat alergi', 'alergi akut kronis', 'peradangan alergi', 'penyakit alergi', 'gi kondisi alergi', 'reaksi alergi', 'gejala alergi', 'alergi ringan', 'alergi inflamasi', 'gi alergi']
alergi dermatologi;['gangguan kulit akibat alergi', 'alergi kulit mukosa', 'penyakit penyakit dermatologis alergik', 'kondisi2 pruritik alergi kulit mukosa', 'penyakit kulit akibat reaksi alergi', 'alergi dermatologi', 'penyakit dermatologis alergi', 'penyakit dermatologis alergi lainnya', 'reaksi alergi kulit', 'gangguan kulit alergi', 'penyakit dermatologis alergik', 'gangguan alergi kulit', 'alergi kulit']
alergi dingin;['badan dingin', 'urtikaria dingin', 'alergi dingin']
alergi makanan;['alergi makanan']
alergi mata;['alergi kulit mata', 'alergi mata', 'alergi kelopak mata']
alergi obat;['alergi obat', 'reaksi obat', 'reaksi alergi obatobatan']
alergi saluran pernapasan;['alergi saluran pernapasan', 'alergi pernapasan hidung']
alopesia androgenetika;['kebotakan androgenetika', 'kebotakan androgenetika androgenetica alopecia', 'androgenetica alopecia', 'alopesia androgenetika']
ambeien;['ambeien']
