standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf
aborsi,"['abortus persalinan', 'aborsi', 'abortus mengancam', 'abortus']"
aborsi habitulasi,"['abortus habitulasi', 'aborsi habitulasi', 'abortus hebatulasi', 'kehamilan dengan riwayat abortus habitualis', 'abortus habitualis']"
aborsi septik,"['abortus septik', 'infeksi abortus septik', 'aborsi septik']"
abrasi,['abrasi']
abses,"['abses', 'abs']"
abses gigi,['abses gigi']
abses intra abdomen,"['abs intraabdomen', 'abs intra abdomen', 'abses intraabdomen', 'abses intra abdomen']"
abses paru,"['abs paru', 'abses paru']"
abses periodontal,"['abses periodontal', 'abs periodontal']"
abses tuboovarium,"['abs tuboovarium non gonokokal', 'abses tuboovarium', 'abs tuboovarium nongonokokal', 'abs tuboovarium']"
adenoma endokrin multiple,"['adenoma endokrin multiple', 'adenoma endokrin multipel', 'adenoma endokrin']"
adesilentikular,['adesilentikular']
adnexitis,"['dakriosistitis adnexitis', 'adnexitis']"
akne,"['akne berat', 'akne vulgaris', 'acne', 'acne vulgaris', 'acne vulgaris papulapustula', 'akne nekrotika', 'akne pustular', 'acne ringan', 'akne vulgarisjerawat', 'acne vulgaris papulapustula berat', 'akne vulgaris ringan sedang', 'akne pustularis', 'akne', 'acne eksim', 'akne vulgarisjerawat ringan']"
akrosia,"['akrosia', 'akrosianosis']"
alergi,"['gi kondisi alergi', 'alergi ringan', 'gi alergi', 'alergi', 'gangguan alergi', 'alergi inflamasi', 'reaksi alergi', 'akibat alergi', 'penyakit alergi', 'peradangan alergi', 'alergi akut kronis', 'gejala alergi']"
alergi dermatologi,"['reaksi alergi kulit', 'penyakit kulit akibat reaksi alergi', 'alergi kulit mukosa', 'gangguan kulit alergi', 'penyakit dermatologis alergi', 'penyakit penyakit dermatologis alergik', 'alergi kulit', 'gangguan kulit akibat alergi', 'penyakit dermatologis alergi lainnya', 'alergi dermatologi', 'penyakit dermatologis alergik', 'menifestasi alergi kulit', 'kondisi2 pruritik alergi kulit mukosa', 'gangguan alergi kulit', 'kondisi2 pruritik']"
alergi dingin,"['alergi dingin', 'urtikaria dingin', 'badan dingin']"
alergi makanan,['alergi makanan']
alergi mata,"['alergi kulit mata', 'alergi kelopak mata', 'alergi mata']"
alergi obat,"['reaksi terhadap obat', 'reaksi obat', 'alergi obat', 'reaksi alergi obatobatan']"
alergi saluran pernapasan,"['alergi saluran pernapasan', 'alergi pernapasan hidung']"
alopesia androgenetika,"['kebotakan androgenetika', 'kebotakan androgenetika androgenetica alopecia', 'androgenetica alopecia', 'alopesia androgenetika']"
ambeien,['ambeien']
amebiasis,"['amebiasis', 'amubiasis intestinal', 'amoebiasis intestinal hepar', 'amubiasis', 'amubiasis intestinal akut', 'amubiasis ekstra intestinal', 'hepatic amoebiasis', 'amoebiasis intestinal', 'intestinal amoebiasis', 'amoebiasis', 'amubiasis intra intestinal']"
amenore,"['amenore psikogenik', 'amenore sekunder', 'amenorre', 'amenorrhea', 'amenore galaktorea', 'amenore', 'amenore primer', 'amenore primer sekunder', 'amenore primer dan sekunder']"
anemia,['anemia']
anemia akibat pendarahan,"['anemia akibat pendarahan', 'pendarahan hidung', 'pendarahan']"
anemia defisiensi besi,"['defisiensi zat besi asam folat', 'defisiensi zat besi', 'defisiensi zat besi dan asam folat', 'anemia kekurangan zat besi', 'anemia defisiensi zat besi', 'defisiensi zat besi pencegahan', 'defisiensi zat besi gejala']"
anemia megaloblastik,"['anemia megaloblastik dan makrositik', 'anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan', 'anemia megaloblastik', 'anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan', 'anemia makrositik', 'anemia megaloblastik makrositik']"
anemia pada kehamilan dan menyusui,"['anemia kehamilan menyusui', 'anemia pada kehamilan dan menyusui']"
anemia pernisiosa,"['pernisiosa', 'anemia pernisiosa']"
aneurisma otak,['aneurisma']
angina,['angina']
angina pectoris,"['angina pektoris', 'pektosis', 'angina pectoris', 'pektoris']"
angina prinzmetal,"['angina varian', 'angina prinzmetal, angina varian', 'prinzmetal', 'angina prinzmetal']"
angina stabil,"['angina stabil kronis', 'angina stabil']"
angina tidak stabil,['angina tidak stabil']
angina vincent,"['angina vincent', 'infeksi vincent']"
angioedema,"['angioderma', 'urtikaria angioedema', 'angioedema']"
ankylosing spondylitis,"['ankilosa spondilitis', 'spondilitis', 'ankylosing spondylititis', 'ankylosing spondilitis', 'oa ra ankilosing spondilitis', 'aankilosing spondilitis', 'spondilitis ankilosing', 'ankylosing spondylitis', 'ankilosing spondilitis', 'spondilitis ankilosa', 'ra ankilosing spondilitis', 'spondilitas ankilosa']"
anoreksia nervosa,"['nafsu makan', 'membantu memperbaiki nafsu makan', 'nafsu makan anak', 'hilang nafsu makan anoreksia', 'anorexia', 'anoreksia', 'anoreksia kehilangan nafsu makan']"
anovulasi,['anovulasi']
ansietas,['ansietas']
aritmia,"['disritmia jantung', 'aritmia ventrikel supraventrikel', 'disritmia kordis', 'gangguan ritme irama atrium', 'aritmia jantung', 'aritmia', 'gangguan ritme irama berhubungan']"
arteriosklerosis,['arteriosklerosis']
arthritis,"['arthritis', 'nyeri arthritis ringan', 'artritis', 'arthitis', 'atritis akut kronis', 'artritis idiopatik juvenil', 'arthisis', 'artritis akut']"
arthritis gout,"['artritis gout akut', 'serangan gout akut', 'gout artritis akut', 'arthritis gout akut', 'gout akut', 'serangan akut gout', 'gout']"
asam urat,"['produksi asam urat berlebihan', 'kelebihan asam urat', 'asam urat akut', 'asam urat', 'urat kaku']"
ascariasis,"['ascariasis', 'ascaris lumbricoides', 'askariasis']"
asites,['asites']
asma,"['asma bronkhial', 'bronkial asma', 'asthma bronkial', 'asthma', 'asma ringan', 'asma bronkial kronik', 'serangan asma akut', 'obstruksi saluran nafas asma bronkhial', 'asthmatoid bronchitis', 'astma', 'asma dermatitis', 'asma akut berat', 'asmatik asma bronkial', 'status asmatikus', 'asmatikus', 'asma bronkhial khronik', 'asma bronkial', 'asma akut', 'asma berat akut', 'asma', 'asma kronis', 'asma sedang', 'asma berat']"
aspergillosis,"['aspergillosis', 'aspergilosis']"
asthenia,['astenia']
aterosklerosis,"['aterosklerosis', 'aterosklerosis vaskular', 'artherosklerosis']"
atoni,['atoni']
atrial fibrilasi,"['fibrilasi atrium', 'fibrilasi flutter atrium paroksismal', 'atrial fibrilasi', 'fibrilasi atrium paroxismal']"
atrial flutter,['atrial flutter']
bakteremia,['bakteremia']
batu empedu,"['batu empedu', 'empedu']"
batu ginjal,"['batu ginjal', 'batu oksalat ginjal saluran kemih', 'batu oksalat']"
batu kandung kemih,"['gejala kandung kemih aktif', 'kandung kemih aktif', 'batu urin saluran kemih', 'batu urin', 'batu kandung kemih']"
