standardized_disease;fuzzy;list_of_diseases;corrected_list_of_diseases
abses;abses;[];[]
abses gigi;abses gigi;[];[]
abses paru;abses paru;[];['abs paru']
adesilentikular;adesilentikular;[];[]
adnexitis;adnexitis;['dakriosistitis adnexitis'];['dakriosistitis adnexitis']
akne;acne;['acne eksim', 'acne ringan', 'acne vulgaris', 'acne vulgaris papulapustula', 'acne vulgaris papulapustula berat'];['acne eksim', 'acne ringan', 'acne vulgaris', 'acne vulgaris papulapustula', 'acne vulgaris papulapustula berat']
akne;akne;['akne berat', 'akne nekrotika', 'akne pustular', 'akne pustularis', 'akne vulgaris', 'akne vulgaris ringan sedang', 'akne vulgarisjerawat', 'akne vulgarisjerawat ringan'];['akne berat', 'akne nekrotika', 'akne pustular', 'akne pustularis', 'akne vulgaris', 'akne vulgaris ringan sedang', 'akne vulgarisjerawat', 'akne vulgarisjerawat ringan']
akrosia;akrosianosis;[];[]
akrosia;akrosia;[];[]
alergi;penyakit alergi;['penyakit dermatologis alergi', 'penyakit dermatologis alergi lainnya'];[]
alergi;reaksi alergi;['penyakit kulit akibat reaksi alergi', 'reaksi alergi kulit', 'reaksi alergi obatobatan', 'reaksi obat', 'reaksi terhadap obat'];[]
alergi;gi kondisi alergi;['gi alergi'];['gi alergi','akibat alergi','alergi akut kronis']
alergi;alergi;['alergi dermatologi', 'alergi hidung', 'alergi inflamasi', 'alergi kulit', 'alergi kulit mata', 'alergi mata', 'alergi pernafasan', 'anti alergi', 'dermatosis alergi', 'dermatosis alergi inflamasi'];['alergi inflamasi']
alergi;gangguan alergi;['gangguan', 'gangguan alergi kulit', 'gangguan kulit akibat alergi', 'gangguan kulit alergi'];[]
alergi;alergi ringan;[];[]
alergi;gejala alergi;['gejala wasir'];[]
alergi;peradangan alergi;['peradangan', 'peradangan hidung'];[]
alergi dingin;alergi dingin;['badan dingin', 'ekstremitas dingin', 'extremitastangankaki dingin', 'urtikaria dingin'];['badan dingin', 'ekstremitas dingin', 'extremitastangankaki dingin', 'urtikaria dingin']
alergi makanan;alergi makanan;[];[]
alergi obat;alergi obat;['nistatin obat obat'];['reaksi alergi obatobatan']
alopesia androgenetika;androgenetica alopecia;['kebotakan androgenetika androgenetica alopecia'];['kebotakan androgenetika androgenetica alopecia']
alopesia androgenetika;alopesia androgenetika;[];[]
ambeien;ambeien;[];[]
amebiasis;amubiasis intestinal;[];[]
amebiasis;amubiasis intra intestinal;[];[]
amebiasis;amubiasis;[];[]
amebiasis;amoebiasis;[];[]
amebiasis;amebiasis;[];[]
amebiasis;amubiasis ekstra intestinal;[];[]
amebiasis;hepatic amoebiasis;[];[]
amebiasis;amubiasis intestinal akut;[];[]
amebiasis;amoebiasis intestinal;['intestinal amoebiasis'];['intestinal amoebiasis']
amebiasis;amoebiasis intestinal hepar;[];[]
amenore;amenore sekunder;[];[]
amenore;amenorre;[];[]
amenore;amenore galaktorea;[];[]
amenore;amenore primer;[];[]
amenore;amenore primer dan sekunder;['amenore primer sekunder'];['amenore primer sekunder']
amenore;amenorrhea;[];[]
amenore;amenore;[];[]
amenore;amenore psikogenik;[];[]
anemia;anemia;[];[]
anemia akibat pendarahan;anemia akibat pendarahan;['nyeri panas pendarahan akibat wasir', 'pendarahan', 'pendarahan hidung'];['pendarahan', 'pendarahan hidung']
anemia defisiensi besi;defisiensi zat besi pencegahan;[];[]
anemia defisiensi besi;defisiensi zat besi dan asam folat;[];[]
