id,nomor_registrasi,nama,tipe,komposisi,indikasi
2915,DBL2044401337A1,fermol demam anak (rasa stroberi),sirup,paracetamol,demam| sakit nyeri ringan| sakit kepala| sakit gigi| demam imunisasi
5668,GKL0233506901A1,clindamycin hydrochloride,kapsul,clindamycin hydrochloride,infeksi gravida serius berat| infeksi pneumokokus| infeksi staph| infeksi bakteri anaerob
4916,DKL0028603028A1,medi - klin,gel,clindamycin phosphate,nan
962,DTL1402813237A1,komix obh,sirup,succus liquiritiae| guaifenesin| phenylephrine hydrochloride| chlorphenamine maleate,batuk
10027,DKL1028205317A1,simclovix,tablet,clopidogrel bisulfate,aterosklerosis| infark miokard| stroke| penyakit arteri| kematian vaskular
8897,DKI1964604743A1,tresiba,injeksi,insulin,diabetes mellitus
9684,DKL9708007901B1,evothyl 300,kapsul,fenofibrate,hiperkolesterolemia tipe iia| hiperlipidemia kombinasi tipe iib/ii| hipertrigliserida endogen tipe iv tidak respon diet
5765,DKL9517611038A1,ceptik,sirup,cefixime trihydrate,infeksi saluran kemih komplikasi| otitis medium| radang rongga gendang telinga| faringitis tonsilitis| bronkhitis akut kronis eksaserbasi kumatnya penyakit gejala penyakit mendadak akut
8676,DKL0609215609A1,glikos,kaplet,metformin hydrochloride,niddm (non insulin dependent diabetes mellitus)| kelebihan berat badan| kadar gula darah tidak terkendali| iddm (insulin dependent diabetes mellitus)
7865,TI204559521,himalaya septilin tablet,tablet,adhatoda vasica,none
5970,DKL8320600901B1,conmycin,kapsul,tetracycline hydrochloride,infeksi tetrasiklin
4599,DTL1840001046A1,rohto v-extra,tetes,macrogol 400,nan
1488,DTL9627802737A1,neladryl dmp,sirup,diphenhydramine hydrochloride| ammonium chloride| dextromethorphan hydrobromide| paracetamol| phenylephrine hydrochloride,nan
9850,DKL9605018001A1,trolip 100,kapsul,fenofibrate,hiperkolesterolemia tipe iia| hiperlipidemia kombinasi tipe iib ii| hipertrigliserida endogen tipe iv
6613,DKL9902328301A1,trachon,kapsul,kombinasi-itraconazole pellet,kandidosis vulvovaginal| pitiriasis versikolor| tinea kruris korporis| tinea pedis manum| kandidosis oral| aspergilosis| kriptokokosis| histoplasmosis| parakoksidioidomikosis| sporotrikosis| blastomikosis| kandidosis| infeksi kuku| kandidiasis orofaringe
1494,DKL9817808010A1,nichofed,tablet,pseudoephedrine hydrochloride,flu| sinusitis| rinitis alergi
5194,DKL9602322929A1,benoson m,krim,betamethasone valerate| miconazole nitrate,infeksi jamur kulit| inflamasi| peradangan
2743,DTL8501800309A1,tifalsic,kaplet,ibuprofen,nan
2456,DBL1009221304A1,fasidol plus,kaplet,paracetamol| caffeine,sakit kepala| sakit gigi| sakit otot| nyeri| demam| flu| influensa| demam vaksinasi
850,DKI1214500411A1,fluimucil 600,tablet,acetylcysteine,keracunan parasetamol disengaja
6813,DKL9221005704A1,xanturic 100,kaplet,allopurinol,gout
2568,TR173405681,migranal,pil,cola nitida semen,sakit kepala
10004,DKL1926112117A1,platogrix,tablet,clopidogrel hydrogen sulfate,aterosklerosis| infark miokard| stroke| penyakit arteri
267,DKL1218826317A1,viajoy,tablet,sildenafil citrate,disfungsi ereksi
6046,DKL9731516038A1,fixacep 100,sirup,cefixime trihydrate,infeksi saluran kemih komplikasi| otitis medium| radang rongga gendang telinga| faringitis tonsilitis| bronkhitis akut kronis eksaserbasi kumatnya penyakit gejala penyakit mendadak akut
6122,DKL9911629538A1,kalmoxilin,sirup,amoxicillin trihydrate,infeksi saluran nafas| saluran genito-urinari| infeksi kulit dan jaringan lunak| otitis medium| osteomielitis| tifoid| listeriosis| meningitis
4039,TR182522221,vedium,kaplet,citrus sinensis fructus extract,wasir
2058,DBL7814710810A1,sumagesic,tablet,paracetamol,sakit kepala| sakit gigi| demam
3574,DKL9815612117B1,gavistal 10,tablet,metoclopramide hydrochloride,gangguan pencernaan| mual| muntah| reflucks esofagitis| gastro paresis akut| diabetes
1814,QD111610101,mipi roll on aromatherapy green tea,roll,cajuput oil,nyeri otot| pegal-pegal| sakit otot pinggang| keseleo| terkilir
