standardized_disease;list_of_diseases_fuzzy_tfidf_1
aborsi septik;['aborsi septik', 'abortus septik', 'infeksi abortus septik']
abses;['abses']
abses gigi;['abses gigi']
abses paru;['abs paru', 'abses paru']
adesilentikular;['adesilentikular']
adnexitis;['dakriosistitis adnexitis', 'adnexitis']
akne;['akne nekrotika', 'acne vulgaris', 'akne pustular', 'akne', 'akne berat', 'acne', 'akne vulgarisjerawat ringan', 'acne vulgaris papulapustula', 'acne eksim', 'acne ringan', 'akne vulgaris ringan sedang', 'akne vulgaris', 'acne vulgaris papulapustula berat', 'akne vulgarisjerawat', 'akne pustularis']
akrosia;['akrosianosis', 'akrosia']
alergi;['penyakit alergi', 'alergi inflamasi', 'reaksi alergi', 'gi kondisi alergi', 'gangguan alergi', 'gejala alergi', 'alergi akut kronis', 'alergi ringan', 'alergi', 'akibat alergi', 'gi alergi', 'peradangan alergi']
alergi dermatologi;['penyakit kulit akibat reaksi alergi', 'alergi kulit mukosa', 'penyakit penyakit dermatologis alergik', 'gangguan kulit alergi', 'alergi kulit selaput lendir', 'alergi kulit', 'alergi dermatologi', 'gangguan alergi kulit', 'reaksi alergi kulit', 'gangguan kulit akibat alergi']
alergi dingin;['extremitastangankaki dingin', 'urtikaria dingin', 'ekstremitas dingin', 'alergi dingin', 'badan dingin']
alergi makanan;['alergi makanan']
alergi mata;['alergi kelopak mata', 'alergi kulit mata', 'alergi mata']
alergi obat;['reaksi alergi obatobatan', 'alergi obat']
alergi saluran pernapasan;['alergi saluran pernapasan', 'alergi pernapasan hidung']
alopesia androgenetika;['androgenetica alopecia', 'kebotakan androgenetika androgenetica alopecia', 'alopesia androgenetika']
ambeien;['ambeien']
amebiasis;['amoebiasis intestinal hepar', 'amubiasis intra intestinal', 'amoebiasis intestinal', 'amubiasis', 'amubiasis intestinal', 'intestinal amoebiasis', 'amubiasis ekstra intestinal', 'hepatic amoebiasis', 'amoebiasis', 'amebiasis', 'amubiasis intestinal akut']
