standardized_disease;fuzzy_tfidf_fuzzy;list_of_diseases
alergi dermatologi;penyakit penyakit dermatologis alergik;['penyakit penyakit dermatologis alergik', 'penyakit dermatologis alergi', 'penyakit dermatologis alergik', 'penyakit dermatologis alergi lainnya']
angina pectoris;pektoris;['pektoris', 'pektosis']
arthritis gout;gangguan musculoskeletal akut gout akut;['gangguan musculoskeletal akut gout akut', 'gangguan musculoskeletal akut', 'gangguan muskulosketal akut']
batuk;disertai peradangan;['disertai peradangan', 'tidak disertai peradangan']
batuk pilek;batuk/pilek;['batuk/pilek', 'batukpilek']
bronkitis akut dan kronis;exaserbasi akut;['exaserbasi akut', 'eksasaerbasi akut', 'ekarserbasi akut']
cacing kremi;cacing;['cacing', 'cacingan']
dehidrasi;dehidrasi sedang;['dehidrasi sedang', 'dehidrasisedang']
dermatomiositis;dermatomiosis;['dermatomiosis', 'dermatosis']
dermatosis;dermatosis alergi inflamasi;['dermatosis alergi inflamasi', 'inflamasi dermatosis']
epididimitis;epididimitis;['epididimitis', 'epididimoorkitis']
episkleritis;episcleritis;['episcleritis', 'scleritis']
flu;influenza;['influenza', 'infuenza', 'hinfluenzae', 'h influenzae']
gagal ginjal kronis;insufisiensi ginjal kronik;['insufisiensi ginjal kronik', 'insufisiensi ginjal khronik']
gangguan tropik;gangguan tropik;['gangguan tropik', 'gangguan trofik']
gatal;gatal;['gatal', 'gatal2']
gerd;esofageal;['esofageal', 'esofangeal']
gonore;n gonorrhoea;['n gonorrhoea', 'n gonorrhoae']
hidung tersumbat;hidung tersumbat;['hidung tersumbat', 'hidung tersumbatgatal']
hipoparatiroid;hipoparatiroidisme;['hipoparatiroidisme', 'pseudohipoparatiroidisme']
impetigo;furunculosis;['furunculosis', 'furunkulosis']
infeksi;infeksi;['infeksi', 'infkesi', 'infeksi2', 'infeski']
infeksi bakteri;bakteria meningitis;['bakteria meningitis', 'bakteremia meningitis']
infeksi jamur kulit;dermatofita;['dermatofita', 'dermatofit']
infeksi kulit;pioderma;['pioderma', 'pyoderma']
infeksi luka operasi;infeksi luka;['infeksi luka', 'luka terinfeksi']
infeksi mata;infeksi eksternal mata;['infeksi eksternal mata', 'infeksi eksternal']
infeksi saluran kemih;isk komplikasi;['isk komplikasi', 'isk terkomlikasi']
infeksi saluran kemih;infeksi sal kemih;['infeksi sal kemih', 'infeksi sal kelamin']
infeksi saluran pencernaan;infeksi intraabdomen dengan komplikasi;['infeksi intraabdomen dengan komplikasi', 'infeksi intraabdomen komplikasi']
infeksi saluran pernapasan;infeksi serius saluran nafas bag bawah;['infeksi serius saluran nafas bag bawah', 'infeksi serius saluran nafas bag bwh']
