standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf
aborsi septik,"['abortus septik', 'infeksi abortus septik', 'aborsi septik']"
abses,"['abses', 'abs']"
abses gigi,['abses gigi']
abses paru,"['abs paru', 'abses paru']"
adenoma endokrin multiple,['adenoma endokrin multiple']
adesilentikular,['adesilentikular']
adnexitis,"['adnexitis', 'dakriosistitis adnexitis']"
akne,"['akne berat', 'acne vulgaris papulapustula', 'akne vulgarisjerawat ringan', 'akne vulgaris', 'acne ringan', 'acne vulgaris', 'akne pustularis', 'akne nekrotika', 'acne', 'akne vulgaris ringan sedang', 'acne vulgaris papulapustula berat', 'akne vulgarisjerawat', 'akne', 'acne eksim', 'akne pustular']"
akrosia,"['akrosia', 'akrosianosis']"
alergi,"['gangguan alergi', 'alergi', 'akibat alergi', 'alergi akut kronis', 'peradangan alergi', 'penyakit alergi', 'reaksi alergi', 'gi kondisi alergi', 'gejala alergi', 'alergi ringan', 'alergi inflamasi', 'gi alergi']"
alergi dermatologi,"['alergi kulit mukosa', 'gangguan kulit akibat alergi', 'penyakit penyakit dermatologis alergik', 'penyakit kulit akibat reaksi alergi', 'alergi dermatologi', 'penyakit dermatologis alergi', 'penyakit dermatologis alergi lainnya', 'reaksi alergi kulit', 'gangguan kulit alergi', 'penyakit dermatologis alergik', 'gangguan alergi kulit', 'alergi kulit']"
alergi dingin,"['badan dingin', 'urtikaria dingin', 'alergi dingin']"
alergi makanan,['alergi makanan']
alergi mata,"['alergi kulit mata', 'alergi mata', 'alergi kelopak mata']"
alergi obat,"['alergi obat', 'reaksi alergi obatobatan']"
alergi saluran pernapasan,"['alergi saluran pernapasan', 'alergi pernapasan hidung']"
alopesia androgenetika,"['alopesia androgenetika', 'kebotakan androgenetika', 'androgenetica alopecia', 'kebotakan androgenetika androgenetica alopecia']"
ambeien,['ambeien']
amebiasis,"['amubiasis ekstra intestinal', 'hepatic amoebiasis', 'amubiasis intra intestinal', 'amoebiasis intestinal', 'intestinal amoebiasis', 'amoebiasis intestinal hepar', 'amubiasis', 'amebiasis', 'amoebiasis', 'amubiasis intestinal akut', 'amubiasis intestinal']"
amenore,"['amenore', 'amenore primer sekunder', 'amenore psikogenik', 'amenorre', 'amenore primer dan sekunder', 'amenore primer', 'amenore galaktorea', 'amenore sekunder', 'amenorrhea']"
anemia,['anemia']
anemia akibat pendarahan,"['pendarahan hidung', 'anemia akibat pendarahan', 'pendarahan']"
anemia defisiensi besi,"['anemia defisiensi zat besi', 'anemia kekurangan zat besi', 'defisiensi zat besi dan asam folat', 'defisiensi zat besi', 'defisiensi zat besi pencegahan', 'defisiensi zat besi gejala', 'defisiensi zat besi asam folat']"
anemia megaloblastik,"['anemia makrositik', 'anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan', 'anemia megaloblastik', 'anemia megaloblastik dan makrositik', 'anemia megaloblastik makrositik', 'anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan']"
anemia pada kehamilan dan menyusui,"['anemia pada kehamilan dan menyusui', 'anemia kehamilan menyusui']"
anemia pernisiosa,"['anemia pernisiosa', 'pernisiosa']"
aneurisma otak,['aneurisma']
angina,['angina']
angina pectoris,"['angina pektoris', 'angina pectoris', 'pektoris', 'pektosis']"
angina prinzmetal,"['prinzmetal', 'angina varian', 'angina prinzmetal, angina varian', 'angina prinzmetal']"
angina stabil,"['angina stabil', 'angina stabil kronis']"
angina tidak stabil,['angina tidak stabil']
angina vincent,"['infeksi vincent', 'angina vincent']"
angioedema,"['angioedema', 'angioderma', 'urtikaria angioedema']"
ankylosing spondylitis,"['ankylosing spondilitis', 'spondilitis ankilosa', 'spondilitis ankilosing', 'spondilitas ankilosa', 'ankylosing spondylititis', 'ankilosa spondilitis', 'spondilitis', 'oa ra ankilosing spondilitis', 'ankylosing spondylitis', 'ankilosing spondilitis', 'ra ankilosing spondilitis', 'aankilosing spondilitis']"
anoreksia nervosa,"['anoreksia', 'hilang nafsu makan anoreksia', 'nafsu makan anak', 'anorexia', 'anoreksia kehilangan nafsu makan', 'nafsu makan']"
anovulasi,['anovulasi']
ansietas,['ansietas']
aritmia,"['gangguan ritme irama atrium', 'gangguan ritme irama berhubungan', 'aritmia ventrikel supraventrikel', 'disritmia jantung', 'aritmia jantung', 'disritmia kordis', 'aritmia']"
arteriosklerosis,['arteriosklerosis']
arthritis,"['atritis akut kronis', 'nyeri arthritis ringan', 'arthitis', 'artritis idiopatik juvenil', 'arthisis', 'artritis akut', 'artritis', 'arthritis']"
arthritis gout,"['gout', 'serangan akut gout', 'arthritis gout akut', 'serangan gout akut', 'gout akut', 'artritis gout akut', 'gout artritis akut']"
asam urat,"['asam urat akut', 'kelebihan asam urat', 'urat kaku', 'produksi asam urat berlebihan', 'asam urat']"
