standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf
aborsi,"['abortus', 'abortus mengancam', 'aborsi', 'abortus persalinan']"
aborsi habitulasi,"['abortus hebatulasi', 'aborsi habitulasi', 'abortus habitulasi', 'kehamilan dengan riwayat abortus habitualis', 'abortus habitualis']"
aborsi septik,"['abortus septik', 'infeksi abortus septik', 'aborsi septik']"
abses,"['abses', 'abs']"
abses gigi,['abses gigi']
abses intra abdomen,"['abs intra abdomen', 'abses intra abdomen', 'abses intraabdomen', 'abs intraabdomen']"
abses paru,"['abs paru', 'abses paru']"
abses periodontal,"['abs periodontal', 'abses periodontal']"
adenoma endokrin multiple,"['adenoma endokrin', 'adenoma endokrin multipel', 'adenoma endokrin multiple']"
adesilentikular,['adesilentikular']
adnexitis,"['adnexitis', 'dakriosistitis adnexitis']"
akne,"['akne berat', 'acne vulgaris papulapustula', 'akne vulgaris', 'acne vulgaris', 'akne vulgarisjerawat ringan', 'acne ringan', 'akne pustularis', 'akne nekrotika', 'acne', 'akne vulgaris ringan sedang', 'acne vulgaris papulapustula berat', 'akne vulgarisjerawat', 'akne', 'acne eksim', 'akne pustular']"
akrosia,"['akrosia', 'akrosianosis']"
alergi,"['gangguan alergi', 'alergi', 'akibat alergi', 'alergi akut kronis', 'peradangan alergi', 'penyakit alergi', 'reaksi alergi', 'gi kondisi alergi', 'gejala alergi', 'alergi ringan', 'alergi inflamasi', 'gi alergi']"
alergi dermatologi,"['alergi kulit mukosa', 'gangguan kulit akibat alergi', 'penyakit penyakit dermatologis alergik', 'kondisi2 pruritik alergi kulit mukosa', 'penyakit kulit akibat reaksi alergi', 'alergi dermatologi', 'reaksi alergi kulit', 'penyakit dermatologis alergi', 'penyakit dermatologis alergi lainnya', 'kondisi2 pruritik', 'gangguan kulit alergi', 'penyakit dermatologis alergik', 'gangguan alergi kulit', 'alergi kulit']"
alergi dingin,"['badan dingin', 'urtikaria dingin', 'alergi dingin']"
alergi makanan,['alergi makanan']
alergi mata,"['alergi kulit mata', 'alergi mata', 'alergi kelopak mata']"
alergi obat,"['reaksi obat', 'alergi obat', 'reaksi alergi obatobatan', 'reaksi terhadap obat']"
alergi saluran pernapasan,"['alergi saluran pernapasan', 'alergi pernapasan hidung']"
alopesia androgenetika,"['kebotakan androgenetika', 'kebotakan androgenetika androgenetica alopecia', 'androgenetica alopecia', 'alopesia androgenetika']"
ambeien,['ambeien']
amebiasis,"['amubiasis ekstra intestinal', 'hepatic amoebiasis', 'amubiasis intra intestinal', 'amoebiasis intestinal', 'intestinal amoebiasis', 'amoebiasis intestinal hepar', 'amubiasis', 'amebiasis', 'amoebiasis', 'amubiasis intestinal akut', 'amubiasis intestinal']"
amenore,"['amenore', 'amenore primer sekunder', 'amenore psikogenik', 'amenorre', 'amenore primer dan sekunder', 'amenore galaktorea', 'amenore primer', 'amenore sekunder', 'amenorrhea']"
anemia,['anemia']
anemia akibat pendarahan,"['pendarahan hidung', 'anemia akibat pendarahan', 'pendarahan']"
anemia defisiensi besi,"['anemia defisiensi zat besi', 'anemia kekurangan zat besi', 'defisiensi zat besi dan asam folat', 'defisiensi zat besi', 'defisiensi zat besi pencegahan', 'defisiensi zat besi gejala', 'defisiensi zat besi asam folat']"
anemia megaloblastik,"['anemia makrositik', 'anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan', 'anemia megaloblastik', 'anemia megaloblastik dan makrositik', 'anemia megaloblastik makrositik', 'anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan']"
anemia pada kehamilan dan menyusui,"['anemia pada kehamilan dan menyusui', 'anemia kehamilan menyusui']"
anemia pernisiosa,"['anemia pernisiosa', 'pernisiosa']"
aneurisma otak,['aneurisma']
angina,['angina']
angina pectoris,"['angina pektoris', 'angina pectoris', 'pektoris', 'pektosis']"
angina prinzmetal,"['prinzmetal', 'angina varian', 'angina prinzmetal, angina varian', 'angina prinzmetal']"
angina stabil,"['angina stabil', 'angina stabil kronis']"
angina tidak stabil,['angina tidak stabil']
angina vincent,"['infeksi vincent', 'angina vincent']"
angioedema,"['angioedema', 'angioderma', 'urtikaria angioedema']"
ankylosing spondylitis,"['ankylosing spondilitis', 'spondilitis ankilosa', 'ankylosing spondylitis', 'spondilitis ankilosing', 'spondilitas ankilosa', 'ankilosa spondilitis', 'spondilitis', 'oa ra ankilosing spondilitis', 'ankylosing spondylititis', 'ankilosing spondilitis', 'ra ankilosing spondilitis', 'aankilosing spondilitis']"
