standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases;
aborsi;abortus persalinan;['nyeri persalinan'];[];
aborsi;abortus mengancam;['blok mengancam'];[];
aborsi;aborsi;[];[];
aborsi;abortus;[];[];
aborsi habitulasi;abortus hebatulasi;[];[];
aborsi habitulasi;abortus habitualis;[];[];
aborsi habitulasi;abortus habitulasi;[];[];
aborsi habitulasi;aborsi habitulasi;[];[];
aborsi habitulasi;kehamilan dengan riwayat abortus habitualis;[];[];
aborsi septik;infeksi abortus septik;[];[];
aborsi septik;abortus septik;[];[];
aborsi septik;aborsi septik;[];[];
abrasi;abrasi;[];[];
abses;abses;[];[];
abses;abs;['abs tuboovarium nongonokokal'];[];
abses gigi;abses gigi;[];[];
abses intra abdomen;abs intraabdomen;[];[];
abses intra abdomen;abses intra abdomen;[];[];
abses intra abdomen;abses intraabdomen;[];[];
abses intra abdomen;abs intra abdomen;[];[];
abses paru;abses paru;[];[];
abses paru;abs paru;[];[];
abses periodontal;abs periodontal;[];[];
abses periodontal;abses periodontal;[];[];
adenoma endokrin multiple;adenoma endokrin multiple;[];[];
adenoma endokrin multiple;adenoma endokrin multipel;[];[];
adenoma endokrin multiple;adenoma endokrin;[];[];
adesilentikular;adesilentikular;[];[];
adnexitis;dakriosistitis adnexitis;[];[];
adnexitis;adnexitis;[];[];
akne;akne berat;[];[];
akne;akne;[];[];
akne;acne vulgaris;[];[];
akne;acne eksim;[];[];
akne;acne;[];[];
akne;akne vulgaris;[];[];
akne;acne ringan;[];[];
akne;acne vulgaris papulapustula berat;[];[];
akne;akne vulgaris ringan sedang;[];[];
akne;akne vulgarisjerawat ringan;[];[];
akne;acne vulgaris papulapustula;[];[];
akne;akne nekrotika;[];[];
akne;akne pustularis;[];[];
akne;akne pustular;[];[];
akne;akne vulgarisjerawat;[];[];
akrosia;akrosianosis;[];[];
akrosia;akrosia;[];[];
alergi;gi kondisi alergi;[];[];
alergi;gi alergi;[];[];
alergi;alergi inflamasi;[];[];
alergi;gejala alergi;[];[];
alergi;alergi;[];[];
alergi;alergi akut kronis;[];[];
alergi;alergi ringan;[];[];
alergi;akibat alergi;[];[];
alergi;gangguan alergi;[];[];
alergi;reaksi alergi;[];[];
alergi;peradangan alergi;[];[];
alergi;penyakit alergi;[];[];
alergi dermatologi;penyakit penyakit dermatologis alergik;[];[];
alergi dermatologi;penyakit dermatologis alergik;[];[];
alergi dermatologi;gangguan kulit alergi;[];[];
alergi dermatologi;penyakit dermatologis alergi lainnya;[];[];
alergi dermatologi;gangguan alergi kulit;[];[];
alergi dermatologi;penyakit dermatologis alergi;[];[];
alergi dermatologi;alergi dermatologi;[];[];
alergi dermatologi;kondisi2 pruritik alergi kulit mukosa;[];[];
alergi dermatologi;alergi kulit mukosa;[];[];
alergi dermatologi;kondisi2 pruritik;[];[];
alergi dermatologi;penyakit kulit akibat reaksi alergi;[];[];
alergi dermatologi;alergi kulit;['menifestasi alergi kulit'];['menifestasi alergi kulit'];
alergi dermatologi;reaksi alergi kulit;[];[];
alergi dermatologi;gangguan kulit akibat alergi;[];[];
alergi dingin;alergi dingin;[];[];
alergi dingin;urtikaria dingin;[];[];
alergi dingin;badan dingin;[];[];
alergi makanan;alergi makanan;[];[];
alergi mata;alergi kulit mata;[];[];
alergi mata;alergi kelopak mata;[];[];
alergi mata;alergi mata;[];[];
alergi obat;reaksi terhadap obat;[];[];
alergi obat;reaksi alergi obatobatan;[];[];
alergi obat;reaksi obat;[];[];
alergi obat;alergi obat;['ulserasi obat'];[];
alergi saluran pernapasan;alergi saluran pernapasan;[];[];
alergi saluran pernapasan;alergi pernapasan hidung;[];[];
alopesia androgenetika;kebotakan androgenetika;[];[];
alopesia androgenetika;androgenetica alopecia;[];[];
alopesia androgenetika;kebotakan androgenetika androgenetica alopecia;[];[];
alopesia androgenetika;alopesia androgenetika;[];[];
ambeien;ambeien;[];[];
amebiasis;amubiasis intra intestinal;[];[];
amebiasis;hepatic amoebiasis;[];[];
amebiasis;amubiasis ekstra intestinal;[];[];
amebiasis;amoebiasis intestinal;[];[];
amebiasis;amoebiasis intestinal hepar;[];[];
amebiasis;amoebiasis;[];[];
amebiasis;amubiasis intestinal akut;[];[];
amebiasis;intestinal amoebiasis;[];[];
amebiasis;amebiasis;[];[];
amebiasis;amubiasis;[];[];
amebiasis;amubiasis intestinal;[];[];
amenore;amenore primer dan sekunder;[];[];
amenore;amenorre;[];[];
amenore;amenore psikogenik;[];[];
amenore;amenore galaktorea;[];[];
amenore;amenore sekunder;[];[];
amenore;amenore primer sekunder;[];[];
amenore;amenore;[];[];
amenore;amenorrhea;[];[];
amenore;amenore primer;[];[];
anemia;anemia;[];[];
anemia akibat pendarahan;pendarahan;[];[];
anemia akibat pendarahan;pendarahan hidung;[];[];
anemia akibat pendarahan;anemia akibat pendarahan;[];[];
anemia defisiensi besi;defisiensi zat besi pencegahan;[];[];
anemia defisiensi besi;defisiensi zat besi gejala;[];[];
anemia defisiensi besi;anemia kekurangan zat besi;[];[];
anemia defisiensi besi;defisiensi zat besi dan asam folat;[];[];
anemia defisiensi besi;anemia defisiensi zat besi;[];[];
anemia defisiensi besi;defisiensi zat besi asam folat;[];[];
anemia defisiensi besi;defisiensi zat besi;[];[];
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan;[];[];
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan;[];[];
anemia megaloblastik;anemia megaloblastik;[];[];
anemia megaloblastik;anemia megaloblastik makrositik;[];[];
anemia megaloblastik;anemia makrositik;[];[];
anemia megaloblastik;anemia megaloblastik dan makrositik;[];[];
anemia pada kehamilan dan menyusui;anemia pada kehamilan dan menyusui;[];[];
anemia pada kehamilan dan menyusui;anemia kehamilan menyusui;[];[];
anemia pernisiosa;anemia pernisiosa;[];[];
anemia pernisiosa;pernisiosa;[];[];
aneurisma otak;aneurisma;[];[];
angina;angina;[];[];
angina pectoris;angina pektoris;[];[];
angina pectoris;angina pectoris;[];[];
angina pectoris;pektosis;[];[];
angina pectoris;pektoris;[];[];
angina prinzmetal;angina prinzmetal, angina varian;[];[];
angina prinzmetal;angina varian;[];[];
angina prinzmetal;angina prinzmetal;[];[];
angina prinzmetal;prinzmetal;[];[];
angina stabil;angina stabil kronis;[];[];
angina stabil;angina stabil;[];[];
angina tidak stabil;angina tidak stabil;['selaput air mata tidak stabil'];[];
angina vincent;angina vincent;[];[];
angina vincent;infeksi vincent;[];[];
angioedema;urtikaria angioedema;[];[];
angioedema;angioedema;[];[];
angioedema;angioderma;[];[];
ankylosing spondylitis;ra ankilosing spondilitis;[];[];
ankylosing spondylitis;aankilosing spondilitis;[];[];
ankylosing spondylitis;ankylosing spondylititis;[];[];
ankylosing spondylitis;spondilitas ankilosa;[];[];
ankylosing spondylitis;spondilitis ankilosing;[];[];
ankylosing spondylitis;spondilitis;[];[];
ankylosing spondylitis;spondilitis ankilosa;[];[];
ankylosing spondylitis;ankylosing spondylitis;[];[];
ankylosing spondylitis;ankilosing spondilitis;[];[];
ankylosing spondylitis;ankylosing spondilitis;[];[];
ankylosing spondylitis;oa ra ankilosing spondilitis;[];[];
ankylosing spondylitis;ankilosa spondilitis;[];[];
anoreksia nervosa;nafsu makan;[];[];
anoreksia nervosa;hilang nafsu makan anoreksia;[];[];
anoreksia nervosa;anoreksia;[];[];
anoreksia nervosa;membantu memperbaiki nafsu makan;[];[];
anoreksia nervosa;anorexia;[];[];
anoreksia nervosa;nafsu makan anak;[];[];
anoreksia nervosa;anoreksia kehilangan nafsu makan;[];[];
