standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
aborsi;abortus;['abortus mengancam', 'abortus persalinan'];['abortus mengancam', 'abortus persalinan']
aborsi;aborsi;[];[]
aborsi habitulasi;aborsi habitulasi;[];[]
aborsi habitulasi;abortus hebatulasi;[];[]
aborsi habitulasi;abortus habitualis;['kehamilan dengan riwayat abortus habitualis'];['kehamilan dengan riwayat abortus habitualis']
aborsi habitulasi;abortus habitulasi;[];[]
aborsi septik;infeksi abortus septik;[];[]
aborsi septik;abortus septik;[];[]
aborsi septik;aborsi septik;[];[]
abses;abs;[];[]
abses;abses;[];[]
abses gigi;abses gigi;[];[]
abses intra abdomen;abs intra abdomen;[];[]
abses intra abdomen;abs intraabdomen;[];[]
abses intra abdomen;abses intra abdomen;[];[]
abses intra abdomen;abses intraabdomen;[];[]
abses paru;abs paru;[];[]
abses paru;abses paru;[];[]
abses periodontal;abses periodontal;[];[]
abses periodontal;abs periodontal;[];[]
adenoma endokrin multiple;adenoma endokrin multiple;[];[]
adenoma endokrin multiple;adenoma endokrin;[];[]
adenoma endokrin multiple;adenoma endokrin multipel;[];[]
adesilentikular;adesilentikular;[];[]
adnexitis;adnexitis;[];[]
adnexitis;dakriosistitis adnexitis;[];[]
akne;akne pustular;[];[]
akne;akne pustularis;[];[]
akne;akne vulgaris;[];[]
akne;acne;[];[]
akne;acne vulgaris papulapustula;[];[]
akne;acne eksim;[];[]
akne;akne berat;[];[]
akne;akne vulgarisjerawat;[];[]
akne;akne nekrotika;[];[]
akne;acne vulgaris;[];[]
akne;acne vulgaris papulapustula berat;[];[]
akne;akne;[];[]
akne;akne vulgarisjerawat ringan;[];[]
akne;acne ringan;[];[]
akne;akne vulgaris ringan sedang;[];[]
akrosia;akrosianosis;[];[]
akrosia;akrosia;[];[]
alergi;alergi inflamasi;[];[]
alergi;peradangan alergi;[];[]
alergi;alergi ringan;[];[]
alergi;alergi akut kronis;[];[]
alergi;gejala alergi;[];[]
alergi;penyakit alergi;[];[]
alergi;gangguan alergi;[];[]
alergi;akibat alergi;[];[]
alergi;reaksi alergi;[];[]
alergi;alergi;[];[]
alergi;gi kondisi alergi;[];[]
alergi;gi alergi;[];[]
alergi dermatologi;alergi kulit mukosa;[];[]
alergi dermatologi;penyakit dermatologis alergik;[];[]
alergi dermatologi;alergi kulit;[];[]
alergi dermatologi;gangguan kulit akibat alergi;[];[]
