standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
aborsi septik;infeksi abortus septik;[];[]
aborsi septik;abortus septik;['abortus'];[]
aborsi septik;aborsi septik;[];[]
abses;abses;[];[]
abses;abs;['abs intraabdomen', 'abs periodontal'];[]
abses gigi;abses gigi;[];[]
abses paru;abs paru;[];[]
abses paru;abses paru;[];[]
adenoma endokrin multiple;adenoma endokrin multiple;['adenoma endokrin', 'adenoma endokrin multipel'];['adenoma endokrin', 'adenoma endokrin multipel']
adesilentikular;adesilentikular;[];[]
adnexitis;dakriosistitis adnexitis;[];[]
adnexitis;adnexitis;[];[]
akne;akne vulgarisjerawat;[];[]
akne;akne berat;[];[]
akne;akne vulgarisjerawat ringan;[];[]
akne;akne vulgaris;[];[]
akne;akne pustularis;[];[]
akne;acne vulgaris papulapustula berat;[];[]
akne;akne;[];[]
akne;akne vulgaris ringan sedang;[];[]
akne;akne pustular;[];[]
akne;acne ringan;[];[]
akne;acne vulgaris;[];[]
akne;acne vulgaris papulapustula;[];[]
akne;akne nekrotika;[];[]
akne;acne;[];[]
akne;acne eksim;[];[]
akrosia;akrosianosis;[];[]
akrosia;akrosia;[];[]
alergi;gangguan alergi;[];[]
alergi;gejala alergi;[];[]
alergi;alergi ringan;[];[]
alergi;gi kondisi alergi;[];[]
alergi;penyakit alergi;[];[]
alergi;alergi inflamasi;[];[]
alergi;peradangan alergi;[];[]
alergi;alergi;[];[]
alergi;gi alergi;[];[]
alergi;alergi akut kronis;[];[]
alergi;reaksi alergi;['reaksi obat'];[]
alergi;akibat alergi;[];[]
alergi dermatologi;alergi kulit;[];[]
alergi dermatologi;gangguan kulit alergi;[];[]
alergi dermatologi;gangguan alergi kulit;[];[]
alergi dermatologi;gangguan kulit akibat alergi;[];[]
alergi dermatologi;penyakit kulit akibat reaksi alergi;[];[]
alergi dermatologi;alergi kulit mukosa;['kondisi2 pruritik alergi kulit mukosa'];['kondisi2 pruritik alergi kulit mukosa']
alergi dermatologi;alergi dermatologi;[];[]
alergi dermatologi;reaksi alergi kulit;[];[]
alergi dermatologi;penyakit dermatologis alergi;[];[]
alergi dermatologi;penyakit dermatologis alergi lainnya;[];[]
alergi dermatologi;penyakit dermatologis alergik;[];[]
alergi dermatologi;penyakit penyakit dermatologis alergik;[];[]
alergi dingin;alergi dingin;[];[]
alergi dingin;badan dingin;[];[]
alergi dingin;urtikaria dingin;[];[]
alergi makanan;alergi makanan;[];[]
alergi mata;alergi kelopak mata;[];[]
alergi mata;alergi mata;[];[]
alergi mata;alergi kulit mata;[];[]
alergi obat;alergi obat;['nistatin obat obat'];[]
alergi obat;reaksi alergi obatobatan;[];['reaksi obat']
alergi saluran pernapasan;alergi saluran pernapasan;[];[]
alergi saluran pernapasan;alergi pernapasan hidung;[];[]
alopesia androgenetika;alopesia androgenetika;[];[]
alopesia androgenetika;kebotakan androgenetika;[];[]
alopesia androgenetika;androgenetica alopecia;[];[]
alopesia androgenetika;kebotakan androgenetika androgenetica alopecia;[];[]
ambeien;ambeien;[];[]
amebiasis;amubiasis intra intestinal;[];[]
amebiasis;amubiasis ekstra intestinal;[];[]
amebiasis;amubiasis;[];[]
amebiasis;amoebiasis;[];[]
amebiasis;amoebiasis intestinal;[];[]
amebiasis;amubiasis intestinal;[];[]
amebiasis;intestinal amoebiasis;[];[]
amebiasis;amubiasis intestinal akut;[];[]
amebiasis;amoebiasis intestinal hepar;[];[]
amebiasis;amebiasis;[];[]
amebiasis;hepatic amoebiasis;[];[]
amenore;amenorre;[];[]
amenore;amenore galaktorea;[];[]
amenore;amenore;[];[]
amenore;amenorrhea;[];[]
amenore;amenore primer dan sekunder;[];[]
amenore;amenore psikogenik;[];[]
amenore;amenore primer sekunder;[];[]
amenore;amenore sekunder;[];[]
amenore;amenore primer;[];[]
anemia;anemia;[];[]
anemia akibat pendarahan;pendarahan;[];[]
anemia akibat pendarahan;pendarahan hidung;[];[]
anemia akibat pendarahan;anemia akibat pendarahan;[];[]
anemia defisiensi besi;anemia kekurangan zat besi;[];[]
anemia defisiensi besi;anemia defisiensi zat besi;[];[]
anemia defisiensi besi;defisiensi zat besi asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi dan asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi pencegahan;[];[]
anemia defisiensi besi;defisiensi zat besi;[];[]
anemia defisiensi besi;defisiensi zat besi gejala;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan;[];[]
anemia megaloblastik;anemia megaloblastik makrositik;[];[]
anemia megaloblastik;anemia megaloblastik dan makrositik;[];[]
anemia megaloblastik;anemia makrositik;[];[]
anemia megaloblastik;anemia megaloblastik;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan;[];[]
anemia pada kehamilan dan menyusui;anemia kehamilan menyusui;[];[]
anemia pada kehamilan dan menyusui;anemia pada kehamilan dan menyusui;[];[]
anemia pernisiosa;anemia pernisiosa;[];[]
anemia pernisiosa;pernisiosa;[];[]
aneurisma otak;aneurisma;[];[]
angina;angina;[];[]
angina pectoris;angina pectoris;[];[]
angina pectoris;pektoris;[];[]
angina pectoris;pektosis;[];[]
angina pectoris;angina pektoris;[];[]
angina prinzmetal;angina prinzmetal, angina varian;[];[]
angina prinzmetal;angina varian;[];[]
angina prinzmetal;angina prinzmetal;[];[]
angina prinzmetal;prinzmetal;[];[]
angina stabil;angina stabil;[];[]
angina stabil;angina stabil kronis;[];[]
angina tidak stabil;angina tidak stabil;[];[]
angina vincent;angina vincent;[];[]
angina vincent;infeksi vincent;[];[]
angioedema;angioedema;[];[]
angioedema;angioderma;[];[]
angioedema;urtikaria angioedema;[];[]
ankylosing spondylitis;spondilitis;[];[]
ankylosing spondylitis;spondilitis ankilosing;[];[]
ankylosing spondylitis;ankilosing spondilitis;[];[]
ankylosing spondylitis;ankilosa spondilitis;[];[]
ankylosing spondylitis;ankylosing spondylitis;[];[]
ankylosing spondylitis;ankylosing spondylititis;[];[]
ankylosing spondylitis;spondilitas ankilosa;[];[]
ankylosing spondylitis;spondilitis ankilosa;[];[]
ankylosing spondylitis;ankylosing spondilitis;[];[]
ankylosing spondylitis;aankilosing spondilitis;[];[]
ankylosing spondylitis;oa ra ankilosing spondilitis;[];[]
ankylosing spondylitis;ra ankilosing spondilitis;[];[]
anoreksia nervosa;anorexia;[];[]
anoreksia nervosa;anoreksia kehilangan nafsu makan;[];[]
anoreksia nervosa;hilang nafsu makan anoreksia;[];[]
anoreksia nervosa;nafsu makan anak;[];[]
anoreksia nervosa;nafsu makan;['membantu memperbaiki nafsu makan'];['membantu memperbaiki nafsu makan']
anoreksia nervosa;anoreksia;[];[]
anovulasi;anovulasi;[];[]
ansietas;ansietas;[];[]
aritmia;disritmia jantung;[];[]
aritmia;aritmia;[];[]
aritmia;disritmia kordis;[];[]
aritmia;aritmia jantung;[];[]
aritmia;gangguan ritme irama berhubungan;[];[]
aritmia;aritmia ventrikel supraventrikel;[];[]
aritmia;gangguan ritme irama atrium;[];[]
arteriosklerosis;arteriosklerosis;[];[]
arthritis;atritis akut kronis;[];[]
arthritis;arthitis;[];[]
arthritis;artritis akut;[];[]
arthritis;artritis;[];[]
arthritis;arthritis;[];[]
arthritis;arthisis;[];[]
arthritis;nyeri arthritis ringan;[];[]
arthritis;artritis idiopatik juvenil;[];[]
arthritis gout;serangan gout akut;[];[]
arthritis gout;gout artritis akut;[];[]
arthritis gout;arthritis gout akut;[];[]
arthritis gout;serangan akut gout;[];[]
arthritis gout;artritis gout akut;[];[]
arthritis gout;gout;[];[]
arthritis gout;gout akut;[];[]
asam urat;produksi asam urat berlebihan;[];[]
asam urat;asam urat akut;[];[]
asam urat;asam urat;[];[]
asam urat;urat kaku;[];[]
asam urat;kelebihan asam urat;['kelebihan asam lambung'];[]
ascariasis;ascariasis;[];[]
ascariasis;ascaris lumbricoides;[];[]
ascariasis;askariasis;[];[]
asites;asites;[];[]
asma;status asmatikus;[];[]
asma;dispnea akibat asma bronkhial;[];[]
asma;asma;[];[]
asma;asma kronis;[];[]
asma;asma bronkhial;[];[]
asma;asthma bronkial;[];[]
asma;asma bronkhial khronik;[];[]
asma;asmatikus;[];[]
asma;asma sedang;[];[]
asma;asma akut berat;[];[]
asma;asma ringan;[];[]
asma;asma dermatitis;[];[]
asma;asma berat;[];[]
asma;asma bronkial kronik;[];[]
asma;obstruksi saluran nafas asma bronkhial;[];[]
asma;serangan asma akut;[];[]
asma;asma berat akut;[];[]
asma;asmatik asma bronkial;[];[]
asma;astma;[];[]
asma;bronkial asma;[];[]
asma;asma akut;[];[]
asma;asthma;[];[]
asma;asthmatoid bronchitis;[];[]
asma;asma bronkial;[];[]
aspergillosis;aspergillosis;[];[]
aspergillosis;aspergilosis;[];[]
asthenia;astenia;[];[]
aterosklerosis;aterosklerosis vaskular;[];[]
aterosklerosis;artherosklerosis;[];[]
aterosklerosis;aterosklerosis;[];[]
atoni;atoni;[];[]
atrial fibrilasi;fibrilasi atrium;[];[]
atrial fibrilasi;fibrilasi atrium paroxismal;[];[]
atrial fibrilasi;atrial fibrilasi;[];[]
atrial fibrilasi;fibrilasi flutter atrium paroksismal;[];[]
atrial flutter;atrial flutter;[];[]
bakteremia;bakteremia;[];[]
batu empedu;empedu;[];[]
batu empedu;batu empedu;[];[]
batu ginjal;batu oksalat;[];[]
batu ginjal;batu oksalat ginjal saluran kemih;[];[]
batu ginjal;batu ginjal;[];[]
batu kandung kemih;batu urin saluran kemih;[];[]
batu kandung kemih;batu urin;[];[]
batu kandung kemih;kandung kemih aktif;[];[]
batu kandung kemih;gejala kandung kemih aktif;[];[]
batu kandung kemih;batu kandung kemih;[];[]
batuk;batuk panas;[];[]
batuk;batuk akibat alergi;[];[]
batuk;batuk;[];[]
batuk;batuk yang disebabkan oleh alergi;[];[]
batuk;meredakan batuk;[];[]
batuk;gejala batuk;[];[]
batuk;batuk disebabkan alergi;[];[]
batuk;batuk bronchitis;[];[]
batuk;batuk karena emphysema;[];[]
batuk;batuk gatal;[];[]
batuk;batuk akut kronik;[];[]
batuk;batuk karena alergi;[];[]
batuk;batuk produktifberdahak  nonproduktifkering;[];[]
batuk;batuk rangsangan selaput pernafasan;[];[]
batuk;batuk disebabkan oleh alergi;[];[]
batuk;batuk produktifberdahak nonproduktifkering;[];[]
batuk;batuk tenggorokan;[];[]
batuk;batuk karena bronchitis;[];[]
batuk;batuk menahun;[];[]
batuk;batuk disertai peradangan saluran pernafasan bagian atas;[];[]
batuk;batuk sesak;[];[]
batuk;batuk alergi;[];[]
batuk;batuk yang disertai peradangan saluran pernafasan bagian atas;[];[]
batuk berdahak;susah mengeluarkan dahak;[];[]
batuk berdahak;batuk produktif;[];[]
batuk berdahak;mukolitik;[];[]
batuk berdahak;dahak;[];[]
batuk berdahak;batuk dahak kental;[];[]
batuk berdahak;batuk berdahak alergi;[];[]
batuk berdahak;batuk berdahak;[];[]
batuk berdahak;gangguan batuk berdahak;[];[]
batuk berdahak;dahak kental;[];[]
batuk berdahak;batuk ikke berdahak;[];[]
batuk berdahak;ekspektoran gangguan batuk berdahak;[];[]
batuk berdahak;batuk berdahak disertai alergi;[];[]
batuk berdahak;batuk berdahak karena alergi;[];[]
batuk berdahak;batuk mukolitik;[];[]
batuk berdahak;dahak mukus;[];[]
batuk berdahak;ekspektoran batuk berdahak;['ekspektoran'];['ekspektoran']
batuk berdahak;batuk produktif berdahak;[];[]
batuk berdahak;batuk produktifberdahak;[];[]
batuk kering;batuk tidak berdahak disertai bersinbersin alergi;[];[]
batuk kering;batuk nonproduktif;[];[]
batuk kering;batuk nonproduktiftidak berdahak;[];[]
batuk kering;batuk non produktif;[];[]
batuk kering;batuk yang tidak berdahak disertai bersinbersin atau alergi;[];[]
batuk kering;batuk nonproduktifkering;[];[]
batuk kering;batuk kering;[];[]
batuk kering;gejala batuk tidak berdahak;[];[]
batuk kronis;batuk kronis;[];[]
batuk kronis;batuk kronis akut;[];[]
batuk pilek;batuk pilek;[];[]
