standardized_disease;fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
aborsi septik;aborsi septik;[];[]
aborsi septik;infeksi abortus septik;[];[]
aborsi septik;abortus septik;[];[]
abses;abses;[];['abs']
abses gigi;abses gigi;[];[]
abses paru;abs paru;['abs'];[]
abses paru;abses paru;[];[]
adesilentikular;adesilentikular;[];[]
adnexitis;dakriosistitis adnexitis;['dakriosistitis'];[]
adnexitis;adnexitis;[];[]
akne;acne vulgaris papulapustula berat;[];[]
akne;akne;[];[]
akne;akne pustular;[];[]
akne;acne ringan;[];[]
akne;akne vulgaris ringan sedang;[];[]
akne;acne;[];[]
akne;akne vulgarisjerawat ringan;[];[]
akne;acne eksim;[];[]
akne;akne nekrotika;[];[]
akne;acne vulgaris papulapustula;[];[]
akne;akne berat;[];[]
akne;akne pustularis;[];[]
akne;akne vulgaris;[];[]
akne;acne vulgaris;[];[]
akne;akne vulgarisjerawat;[];[]
akrosia;akrosia;[];[]
akrosia;akrosianosis;[];[]
alergi;gi alergi;[];[]
alergi;alergi inflamasi;[];[]
alergi;akibat alergi;[];[]
alergi;gejala alergi;[];[]
alergi;gangguan alergi;[];[]
alergi;alergi ringan;[];[]
alergi;reaksi alergi;[];[]
alergi;penyakit alergi;[];[]
alergi;gi kondisi alergi;[];[]
alergi;alergi akut kronis;[];[]
alergi;peradangan alergi;[];[]
alergi;alergi;[];[]
alergi dermatologi;penyakit dermatologis alergik;[];[]
alergi dermatologi;gangguan kulit alergi;[];[]
alergi dermatologi;penyakit kulit akibat reaksi alergi;[];[]
alergi dermatologi;penyakit penyakit dermatologis alergik;[];[]
alergi dermatologi;alergi kulit mukosa;[];[]
alergi dermatologi;alergi kulit;[];[]
alergi dermatologi;gangguan kulit akibat alergi;[];[]
alergi dermatologi;reaksi alergi kulit;[];[]
alergi dermatologi;alergi dermatologi;[];[]
alergi dermatologi;penyakit dermatologis alergi;[];[]
alergi dermatologi;penyakit dermatologis alergi lainnya;[];[]
alergi dermatologi;gangguan alergi kulit;[];[]
alergi dingin;alergi dingin;[];[]
alergi dingin;badan dingin;[];[]
alergi dingin;urtikaria dingin;[];[]
alergi makanan;alergi makanan;[];[]
alergi mata;alergi kulit mata;[];[]
alergi mata;alergi mata;[];[]
alergi mata;alergi kelopak mata;[];[]
alergi obat;alergi obat;[];[]
alergi obat;reaksi alergi obatobatan;[];[]
alergi saluran pernapasan;alergi pernapasan hidung;[];[]
alergi saluran pernapasan;alergi saluran pernapasan;[];[]
alopesia androgenetika;kebotakan androgenetika androgenetica alopecia;['kebotakan androgenetika'];['kebotakan androgenetika']
alopesia androgenetika;androgenetica alopecia;[];[]
alopesia androgenetika;alopesia androgenetika;[];[]
ambeien;ambeien;[];[]
amebiasis;amebiasis;[];[]
amebiasis;intestinal amoebiasis;[];[]
amebiasis;amubiasis intestinal;[];[]
amebiasis;amubiasis intra intestinal;[];[]
amebiasis;amubiasis intestinal akut;[];[]
amebiasis;amoebiasis intestinal hepar;[];[]
amebiasis;amoebiasis intestinal;[];[]
amebiasis;amubiasis ekstra intestinal;[];[]
amebiasis;amoebiasis;[];[]
amebiasis;hepatic amoebiasis;[];[]
amebiasis;amubiasis;[];[]
amenore;amenore sekunder;[];[]
amenore;amenore;[];[]
